,exists,name,pp,flags,num,accuracy,basePower,category,priority,drain,secondary,target,type,contestType,desc,shortDesc,id,fullname,effectType,gen,isNonstandard,noCopy,affectsFainted,sourceEffect,critRatio,baseMoveType,secondaries,hasSheerForce,ignoreNegativeOffensive,ignorePositiveDefensive,ignoreOffensive,ignoreDefensive,ignoreImmunity,noPPBoosts,isZ,isMax,pressureTarget,nonGhostTarget,ignoreAbility,spreadHit,forceSTAB,noSketch,maxMove,zMove,kind,condition,volatileStatus,boosts,slotCondition,status,hasCrashDamage,selfdestruct,self,heal,sleepUsable,recoil,struggleRecoil,multihit,stallingMove,breaksProtect,pseudoWeather,sideCondition,noMetronome,forceSwitch,willCrit,realMove,ignoreEvasion,thawsTarget,terrain,selfSwitch,ohko,selfBoost,damage,onTry,weather,mindBlownRecoil,overrideDefensiveStat,stealsBoosts,multiaccuracy,overrideOffensiveStat,smartTarget,onDamagePriority,overrideOffensivePokemon,tracksTarget
0,True,Absorb,20,"{'protect': 1, 'mirror': 1}",71,100,20,Special,0,"[1, 2]",,normal,Grass,Clever,"The user recovers 1/2 the HP lost by the target, rounded down.",User recovers 50% of the damage dealt.,absorb,move: Absorb,Move,1,,False,False,,1,Grass,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,Acid,30,"{'protect': 1, 'mirror': 1}",51,100,40,Physical,0,,"{'chance': 10, 'boosts': {'def': -1}}",allAdjacentFoes,Poison,Clever,Has a 10% chance to lower the target's Defense by 1 stage.,10% chance to lower the foe(s) Defense by 1.,acid,move: Acid,Move,1,,False,False,,1,Poison,"[{'chance': 10, 'boosts': {'def': -1}}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 70},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,Ancient Power,5,"{'contact': 1, 'protect': 1, 'mirror': 1}",246,100,60,Physical,0,,"{'chance': 10, 'self': {'boosts': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}}",normal,Rock,Tough,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",10% chance to raise all stats by 1 (not acc/eva).,ancientpower,move: Ancient Power,Move,2,,False,False,,1,Rock,"[{'chance': 10, 'self': {'boosts': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,Astonish,15,"{'contact': 1, 'protect': 1, 'mirror': 1}",310,100,30,Physical,0,,"{'chance': 30, 'volatileStatus': 'flinch'}",normal,Ghost,Cute,Has a 30% chance to make the target flinch. Damage doubles if the target has used Minimize while active.,30% chance to make the target flinch.,astonish,move: Astonish,Move,3,,False,False,,1,Ghost,"[{'chance': 30, 'volatileStatus': 'flinch'}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,Beat Up,10,"{'protect': 1, 'mirror': 1, 'allyanim': 1}",251,100,10,Special,0,,,normal,Dark,Clever,"Deals typeless damage. Hits one time for each unfainted Pokemon without a non-volatile status condition in the user's party, or fails if no Pokemon meet the criteria. For each hit, the damage formula uses the participating Pokemon's base Attack as the Attack stat, the target's base Defense as the Defense stat, and ignores stat stages and other effects that modify Attack or Defense; each hit is considered to come from the user.",All healthy allies aid in damaging the target.,beatup,move: Beat Up,Move,2,,False,False,,1,Dark,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,"{'duration': 1, 'onModifySpAPriority': -101, 'onFoeModifySpDPriority': -101}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,Bide,10,"{'contact': 1, 'protect': 1, 'nosleeptalk': 1, 'failinstruct': 1}",117,100,0,Physical,0,,,self,Normal,Tough,"The user spends two turns locked into this move and then, on the second turn after using this move, the user attacks the last Pokemon that hit it, inflicting double the damage in HP it lost during the two turns. If the last Pokemon that hit it is no longer active, the user attacks a random opposing Pokemon instead. If the user is prevented from moving during this move's use, the effect ends. This move does not ignore type immunity.",Waits 2 turns; deals double the damage taken.,bide,move: Bide,Move,1,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,{'basePower': 100},{'basePower': 100},Move,"{'duration': 3, 'onLockMove': 'bide', 'onDamagePriority': -101}",bide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,Blizzard,5,"{'protect': 1, 'mirror': 1, 'wind': 1}",59,70,120,Special,0,,"{'chance': 10, 'status': 'frz'}",allAdjacentFoes,Ice,Beautiful,Has a 10% chance to freeze the target.,10% chance to freeze foe(s).,blizzard,move: Blizzard,Move,1,,False,False,,1,Ice,"[{'chance': 10, 'status': 'frz'}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 140},{'basePower': 190},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,Brick Break,15,"{'contact': 1, 'protect': 1, 'mirror': 1}",280,100,75,Physical,0,,,normal,Fighting,Cool,"If this attack does not miss and whether or not the target is immune, the effects of Reflect and Light Screen end for the opponent's side of the field before damage is calculated.","Destroys screens, even if the target is immune.",brickbreak,move: Brick Break,Move,3,,False,False,,1,Fighting,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 140},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,Charge,20,{'snatch': 1},268,True,0,Status,0,,,self,Electric,Clever,"If the user uses an Electric-type attack on the next turn, its power will be doubled.",The user's Electric attack next turn has 2x power.,charge,move: Charge,Move,3,,False,False,,1,Electric,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spd': 1}},Move,{'onBasePowerPriority': 9},charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,Conversion,30,{},160,True,0,Status,0,,,self,Normal,Beautiful,"The user's type changes to match the original type of one of its known moves besides Curse, at random, but not either of its current types. Fails if the user cannot change its type, or if this move would only be able to select one of the user's current types.",Changes user's type to match a known move.,conversion,move: Conversion,Move,1,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,"{'boost': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}",Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
